City_ID,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
384,629055,Disna,BY,55.568,28.1971,33.87,92,100,5.39
385,218680,Boende,CD,-0.2167,20.8667,67.71,98,100,1.5
386,608271,Shubarkuduk,KZ,49.1447,56.4872,7.38,73,0,12.37
387,2127060,Arman',RU,59.7,150.1667,8.02,67,0,10.65
388,885800,Mount Darwin,ZW,-16.7725,31.5838,63.99,89,3,2.01
389,141736,Bam,IR,29.106,58.357,63.84,23,85,1.59
390,2381972,Adrar,MR,20.5022,-10.0711,74.88,12,0,9.37
391,70979,Sayyan,YE,15.1718,44.3244,55.38,15,0,4.41
392,5059430,Grand Forks,US,47.9417,-97.4337,35.42,75,90,6.91
393,556961,Ilovlya,RU,49.3033,43.9796,33.4,60,75,17.9
394,3572906,Andros Town,BS,24.7,-77.7667,77.0,65,20,11.5
395,2231506,Foumban,CM,5.7291,10.9001,72.01,70,100,1.68
396,110690,Abhā,SA,18.2164,42.5053,62.4,51,0,2.39
397,5364271,Laguna,US,38.421,-121.4238,59.79,41,1,8.05
398,2654970,Brae,GB,60.3964,-1.353,46.4,81,20,24.16
399,3130131,Amposta,ES,40.7131,0.581,48.51,93,0,2.3
400,2013921,Ust-Kuyga,RU,70.0167,135.6,-20.9,98,55,7.14
401,485215,Synya,RU,65.3718,58.0387,24.01,97,100,1.68
402,638936,Rovaniemi,FI,66.5,25.7167,17.6,67,0,9.22
403,2659529,Morat,CH,46.9283,7.1172,35.2,93,40,4.61
404,2318921,Wukari,NG,7.85,9.7833,86.13,46,97,8.59
405,1159716,Sarakhs,IR,36.5449,61.1577,48.2,61,6,2.3
406,3395062,Maués,BR,-3.3836,-57.7186,79.34,85,99,0.72
407,448149,Sinjār,IQ,36.3209,41.8754,57.33,58,49,6.69
408,4527624,Warren,US,39.4334,-84.1666,53.22,100,75,5.75
409,3347019,Mossamedes,AO,-15.1961,12.1522,75.79,82,99,6.69
410,361058,Alexandria,EG,31.2156,29.9553,57.2,72,0,6.91
411,2409914,Bonthe,SL,7.5264,-12.505,78.87,80,0,8.43
412,3445418,Vazante,BR,-17.9869,-46.9078,71.28,89,44,3.89
413,1636426,Manggar,ID,-2.8833,108.2667,77.97,84,38,3.29
414,332746,Korem,ET,12.5058,39.5228,54.73,56,0,3.29
415,3399051,Gararu,BR,-9.9675,-37.0833,77.92,66,0,14.41
416,2128975,Nemuro,JP,43.3236,145.575,32.97,74,74,9.57
417,1634614,Nabire,ID,-3.3667,135.4833,75.27,87,81,3.51
418,2780531,Eberndorf,AT,46.5914,14.6436,33.17,69,44,3.44
419,2025630,Chara,RU,56.9064,118.2631,2.14,65,93,1.5
420,2093967,Kimbe,PG,-5.5502,150.1429,81.72,75,82,2.13
421,2063042,Port Hedland,AU,-20.3167,118.5667,78.8,89,90,5.75
422,1283334,Birin,NP,26.8865,88.0718,54.97,38,0,5.21
423,336454,Ginir,ET,7.1333,40.7,60.4,63,13,4.79
424,5838199,Sheridan,US,44.8333,-106.9173,34.23,75,75,14.97
425,1853483,Oyama,JP,36.3,139.8,51.58,75,20,2.3
426,3592217,Nentón,GT,15.8,-91.75,80.6,28,40,5.75
427,1528606,Kemin,KG,42.7846,75.6892,19.17,80,20,2.37
428,3405215,Bonfim,BR,3.0833,-59.95,86.0,66,20,13.8
429,5864145,Homer,US,59.6425,-151.5483,27.14,59,1,4.61
430,1250161,Batticaloa,LK,7.7102,81.6924,79.45,76,36,5.64
431,3516926,Pinotepa Nacional,MX,16.3167,-98.0167,87.12,47,0,10.29
432,3461789,Guarujá,BR,-23.9931,-46.2564,82.42,78,40,8.05
433,2058430,Whyalla,AU,-33.0333,137.5833,59.0,94,0,8.05
434,2396518,Port-Gentil,GA,-0.7193,8.7815,78.8,94,20,4.61
435,157429,Kilindoni,TZ,-7.9139,39.6668,82.62,72,7,7.58
436,2122389,Ossora,RU,59.2353,163.0719,15.22,82,0,7.94
437,1847947,Shingū,JP,33.7333,135.9833,56.57,89,63,2.37
438,139223,Chālūs,IR,36.655,51.4204,46.4,93,75,2.3
439,462626,Zilair,RU,52.2332,57.4392,7.81,68,100,2.84
440,3995142,Naica,MX,27.85,-105.4833,81.46,4,0,33.71
441,1220301,Tursunzoda,TJ,38.5144,68.2333,46.4,66,75,2.24
442,4032420,Neiafu,TO,-18.65,-173.9833,84.2,74,40,5.75
443,1811720,Enshi,CN,30.3,109.4833,58.93,92,98,1.54
444,1266124,Koratla,IN,18.8167,78.7167,76.33,28,0,7.54
445,60019,Eyl,SO,7.9803,49.8164,77.67,81,53,14.79
446,2108502,Honiara,SB,-9.4333,159.95,82.62,74,37,1.74
447,5710360,Winnemucca,US,40.973,-117.7357,39.2,70,90,2.84
448,3435038,Dolores,AR,-36.3132,-57.6792,66.94,93,100,6.62
449,2090021,Namatanai,PG,-3.6667,152.4333,81.01,75,94,4.45
450,3170346,Pombia,IT,45.653,8.6336,44.28,26,0,9.22
451,5861897,Fairbanks,US,64.8378,-147.7164,8.11,78,75,2.68
452,1648759,Bima,ID,-8.4667,118.7167,75.88,95,36,1.34
453,2036933,Helong,CN,42.5397,128.9972,21.54,57,3,5.68
454,3864299,Bermejo,AR,-32.8833,-68.8,77.0,41,75,6.91
455,2039557,Khasan,RU,42.4308,130.6434,31.87,40,0,15.88
456,3471830,Araguari,BR,-18.6472,-48.1872,73.4,83,75,12.66
457,3451051,Rio Verde de Mato Grosso,BR,-18.9181,-54.8442,78.12,81,98,3.38
